Allowed: 172.16.62.102:1900 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.102:1900 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.154:54476 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.156:34005 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.152:46498 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.13:137 -> 172.16.63.255:137 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.13:137 -> 172.16.63.255:137 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.157:57149 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.60.197:52655 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.49.160:54323 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.200:58184 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.13:137 -> 172.16.63.255:137 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65090 -> 34.117.59.81:443 | Protocol: TCP | Location: N/A
Allowed: 34.117.59.81:443 -> 172.16.63.134:65090 | Protocol: TCP | Location: N/A
Allowed: 10.10.90.113:40288 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.50:42707 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.204:43662 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.153:42680 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.202:40949 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.197:47427 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.181:45101 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.59.198:57368 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.100:43529 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
